人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,状態,状態の開始日,底本名,出版社名,作品名読み,原題,XHTML/HTMLファイルURL
809,宮原 晃一郎,43605,愛人と厭人,新字旧仮名,,公開,2008-04-15,惜しみなく愛は奪う,角川文庫、角川書店,あいじんとえんじん,,https://www.aozora.gr.jp/cards/000809/files/43605_30585.html
809,宮原 晃一郎,45159,悪魔の尾,新字旧仮名,,公開,2005-09-17,日本児童文学大系　第一一巻,ほるぷ出版,あくまのお,,https://www.aozora.gr.jp/cards/000809/files/45159_19265.html
809,宮原 晃一郎,43012,イプセンの日本語訳,旧字旧仮名,,公開,2008-04-15,北歐の散策,生活社,イプセンのにほんごやく,,https://www.aozora.gr.jp/cards/000809/files/43012_30586.html
809,宮原 晃一郎,45164,動く海底,新字旧仮名,,公開,2006-04-12,日本児童文学大系　第一一巻,ほるぷ出版,うごくかいてい,,https://www.aozora.gr.jp/cards/000809/files/45164_22329.html
809,宮原 晃一郎,45165,怪艦ウルフ号,新字旧仮名,,公開,2006-04-12,日本児童文学大系　第一一巻,ほるぷ出版,かいかんウルフごう,,https://www.aozora.gr.jp/cards/000809/files/45165_22330.html
809,宮原 晃一郎,43011,科学的の神秘,旧字旧仮名,,公開,2008-04-15,北歐の散策,生活社,かがくてきのしんぴ,,https://www.aozora.gr.jp/cards/000809/files/43011_30587.html
809,宮原 晃一郎,45163,賢い秀雄さんの話,新字旧仮名,,公開,2006-01-18,日本児童文学大系　第一一巻,ほるぷ出版,かしこいひでおさんのはなし,,https://www.aozora.gr.jp/cards/000809/files/45163_20659.html
809,宮原 晃一郎,45166,熊捕り競争,新字旧仮名,,公開,2006-04-14,日本児童文学大系　第一一巻,ほるぷ出版,くまとりきょうそう,,https://www.aozora.gr.jp/cards/000809/files/45166_22331.html
809,宮原 晃一郎,45155,孝行鶉の話,新字旧仮名,,公開,2005-09-15,日本児童文学大系　第一一巻,ほるぷ出版,こうこううずらのはなし,,https://www.aozora.gr.jp/cards/000809/files/45155_19262.html
809,宮原 晃一郎,45161,幸坊の猫と鶏,新字旧仮名,,公開,2006-01-18,日本児童文学大系　第一一巻,ほるぷ出版,こうぼうのねことにわとり,,https://www.aozora.gr.jp/cards/000809/files/45161_20657.html
